9753;53;211;CIENCIAS MILITARES;4254;28;3;0;8;1;1;"""2016--06-01""";http://www.esmic.edu.co/
9760;53;211;ESPECIALIZACIÓN EN DERECHO INTERNACIONAL APLICABLE A LOS CONFLICTOS ARMADOS;14374;32;4;0;2;1;1;"""2016--06-01""";http://www.esmic.edu.co/
9761;53;211;ADMINISTRACION LOGISTICA;52210;34;3;0;8;1;1;"""2016--06-01""";http://www.esmic.edu.co/
9764;53;211;EDUCACIÓN  FÍSICA  MILITAR.;53843;31;3;0;8;1;1;"""2016--06-01";http://www.esmic.edu.co/
9765;53;211;ESPECIALIZACI¿N EN LIDERAZGO Y TOMA DE DECISIONES;90343;29;4;0;2;1;1;"""2016--06-01""";http://www.esmic.edu.co/
9766;53;211;RELACIONES INTERNACIONALES;101351;33;3;0;8;1;1;"""2016--06-01""";http://www.esmic.edu.co/
9767;53;211;DERECHO.;101758;32;3;0;8;1;1;"""2016--06-01""";http://www.esmic.edu.co/
9768;53;211;ESPECIALIZACIÓN EN DERECHO OPERACIONAL;102010;32;4;0;2;1;1;"""2016--06-01""";http://www.esmic.edu.co/
